label,regime,avg_action,avg_invested_fraction,avg_overlay_size,avg_hedge_action,avg_hedge_type_action,dominant_hedge_type,avg_hedge_ratio,avg_hedge_cost,avg_hedge_benefit,avg_cash_weight,avg_turnover,avg_transaction_cost,avg_uncertainty_score,avg_convexity_mode,dominant_convexity_mode,avg_convexity_carry,avg_convexity_benefit,avg_council_weight_regime_rules,avg_council_weight_linucb,avg_council_weight_cvar_robust,avg_council_gate_entropy,dominant_council_expert,best_council_expert,ann_return,ann_vol
B2_thompson_tf0.50,neutral,0.0,0.9060487804878049,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0938414724762194,0.12807628633992382,0.00013955257450710918,0.5483605490618992,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,-0.0442415453993148,0.12039242478254149
B2_thompson_tf0.50,bear,0.0,0.9232954545454546,0.0,0.0,0.0,none,0.0,0.0,0.0,0.07650000923499993,0.14156284123553176,0.0001575626001980998,0.4788168716674395,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.3926913438620915,0.2285852913178431
B2_thompson_tf0.60,bull,0.0,0.8992682926829267,0.0,0.0,0.0,none,0.0,0.0,0.0,0.100731716309756,0.10709667640488255,0.00011568369198400201,0.4978258602595596,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.030465756749368664,0.10410273010343118
B2_thompson_tf0.60,neutral,0.0,0.9067375,0.0,0.0,0.0,none,0.0,0.0,0.0,0.09315000906849988,0.13479525776430487,0.00014657866869468325,0.5486291900423014,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.13148612325966455,0.11317386543208018
B2_thompson_tf0.60,bear,0.0,0.913705882352941,0.0,0.0,0.0,none,0.0,0.0,0.0,0.08602942090441168,0.14965814513248182,0.00016431419008881517,0.47981749458656664,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,-0.10190806333040206,0.1232294372114837
B3_epsilon_greedy_tf0.40,bull,0.0,0.8878461538461538,0.0,0.0,0.0,none,0.0,0.0,0.0,0.1121538550323076,0.0950117228984776,0.00010278790739678693,0.4949590375082823,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.11490325874849164,0.10405711746065287
B3_epsilon_greedy_tf0.40,neutral,0.0,0.8775829383886257,0.0,0.0,0.0,none,0.0,0.0,0.0,0.12241707038720367,0.10166513317798011,0.00011021373462324865,0.5512915656170642,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.125046138966437,0.10254836104832614
B3_epsilon_greedy_tf0.40,bear,0.0,0.8768032786885246,0.0,0.0,0.0,none,0.0,0.0,0.0,0.12319673007950811,0.12881370843005574,0.00014310344744008932,0.48289909545133,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.06367840512478781,0.2097066824279319
B3_epsilon_greedy_tf0.50,bull,0.0,0.9102686567164179,0.0,0.0,0.0,none,0.0,0.0,0.0,0.08973135238626853,0.09396562937262648,0.00010195075960254881,0.4909746197335399,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.07512314637760927,0.10740566223442911
B3_epsilon_greedy_tf0.50,neutral,0.0,0.9045121951219512,0.0,0.0,0.0,none,0.0,0.0,0.0,0.09548781392317061,0.11231808828107114,0.00012245570552293328,0.5483605490618992,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,-0.04090803860788626,0.12043571134428126
B3_epsilon_greedy_tf0.50,bear,0.0,0.8856590909090908,0.0,0.0,0.0,none,0.0,0.0,0.0,0.1143409179474999,0.12668678213647042,0.0001412819880141666,0.4788168716674395,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.3451547627926277,0.22586016919216204
B3_epsilon_greedy_tf0.60,bull,0.0,0.9234146341463415,0.0,0.0,0.0,none,0.0,0.0,0.0,0.07658537508780477,0.09772830963109412,0.00010558951582203955,0.49786856030096976,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0539364424268499,0.10589350490718367
B3_epsilon_greedy_tf0.60,neutral,0.0,0.9156250000000001,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0843750091562499,0.1246414448196897,0.0001356642730364736,0.5483504232075577,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.13702032044728488,0.11481519614399353
B3_epsilon_greedy_tf0.60,bear,0.0,0.8732058823529412,0.0,0.0,0.0,none,0.0,0.0,0.0,0.12679412637911755,0.12485361295184552,0.0001370757277503418,0.47973072959480406,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,-0.14010698390021573,0.1225585752762418
C_supervised_tf0.40,bull,0.0,0.8936032388663967,0.0,0.0,0.0,none,0.0,0.0,0.0,0.10639677006963554,0.08505606039901839,9.210085711589252e-05,0.49497747379788376,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.12749881332000856,0.10674544195685824
C_supervised_tf0.40,neutral,0.0,0.9032701421800948,0.0,0.0,0.0,none,0.0,0.0,0.0,0.09672986685260651,0.09515233108713106,0.00010334059321683152,0.5513091772672951,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.1346869977064859,0.10860753381589126
C_supervised_tf0.40,bear,0.0,0.9590491803278688,0.0,0.0,0.0,none,0.0,0.0,0.0,0.040950829262622813,0.1273945037593531,0.0001418917676186657,0.4828888843937002,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0785161215485927,0.23333773702529115
