label,regime,avg_action,avg_invested_fraction,avg_overlay_size,avg_hedge_action,avg_hedge_type_action,dominant_hedge_type,avg_hedge_ratio,avg_hedge_cost,avg_hedge_benefit,avg_cash_weight,avg_turnover,avg_transaction_cost,avg_uncertainty_score,ann_return,ann_vol
A3_dd_delever_tf0.40,bear,0.0,0.8539622641509435,0.0,0.0,0.0,none,0.0,0.0,0.0,0.1460377443886791,0.10941606543028032,0.0001208507733486167,0.48285303303192656,-0.009837713871344522,0.1576358938422045
A3_dd_delever_tf0.50,bull,0.0,0.9530569948186529,0.0,0.0,0.0,none,0.0,0.0,0.0,0.04694301471191696,0.09115801628998188,9.884077789259495e-05,0.49405107260919634,0.05986543226331479,0.11448733811225104
A3_dd_delever_tf0.50,neutral,0.0,0.9430379746835443,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0569620347468353,0.1159612833979669,0.00012567882080935272,0.5463545817409508,0.16832916855532473,0.11215240220113763
A3_dd_delever_tf0.50,bear,0.0,0.8483636363636364,0.0,0.0,0.0,none,0.0,0.0,0.0,0.15163637211999986,0.11463643496708385,0.0001268261019069086,0.4811206708932797,0.023239777975464494,0.16583273137908944
A3_dd_delever_tf0.60,bull,0.0,0.9464843749999999,0.0,0.0,0.0,none,0.0,0.0,0.0,0.05351563446484361,0.09434681793265674,0.0001019821546375839,0.4963818077894236,-0.002823595997316074,0.10567056351557486
A3_dd_delever_tf0.60,neutral,0.0,0.9308333333333334,0.0,0.0,0.0,none,0.0,0.0,0.0,0.06916667597499987,0.11036029076231549,0.00011962675001721272,0.5452867181632092,0.046116158520219636,0.10046613736056785
A3_dd_delever_tf0.60,bear,0.0,0.925,0.0,0.0,0.0,none,0.0,0.0,0.0,0.07500000924999987,0.12463286255005283,0.00013541405469854484,0.48871945953142887,0.06463807143730088,0.12112078006910514
A4_regime_rules_tf0.40,bull,0.0,0.9608947804473902,0.0,0.0,0.0,none,0.0,0.0,0.0,0.039105229161557405,0.0852642310611121,9.227092467499846e-05,0.4952451747287519,0.14072945860971314,0.11700556141396672
A4_regime_rules_tf0.40,neutral,0.0,0.9000000000000002,0.0,0.0,0.0,none,0.0,0.0,0.0,0.10000000899999983,0.1000423000292372,0.00010865327088809022,0.5489548532310417,0.14382969545219298,0.1093624420087167
A4_regime_rules_tf0.40,bear,0.0,0.8009433962264151,0.0,0.0,0.0,none,0.0,0.0,0.0,0.19905661178301873,0.10172962762669235,0.00011311342961661787,0.48285303303192656,0.030002535416265196,0.17385850013711068
A4_regime_rules_tf0.50,bull,0.0,0.9544041450777202,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0455958644663211,0.0905651065933539,9.846937797348839e-05,0.49405107260919634,0.08440854274830152,0.1187877175156382
A4_regime_rules_tf0.50,neutral,0.0,0.9000000000000002,0.0,0.0,0.0,none,0.0,0.0,0.0,0.10000000899999983,0.10659212224134114,0.00011564006749650251,0.5463545817409508,0.18951394170353503,0.1076072884083315
A4_regime_rules_tf0.50,bear,0.0,0.7854545454545454,0.0,0.0,0.0,none,0.0,0.0,0.0,0.21454546239999986,0.10864683808870922,0.00012140100127403842,0.4811206708932797,0.07429316175384464,0.17172631038604455
A4_regime_rules_tf0.60,bull,0.0,0.9498697916666666,0.0,0.0,0.0,none,0.0,0.0,0.0,0.05013021783203109,0.09190660923845358,9.948866788424877e-05,0.4963818077894236,0.0013539140880534746,0.10855048299410931
A4_regime_rules_tf0.60,neutral,0.0,0.9000000000000001,0.0,0.0,0.0,none,0.0,0.0,0.0,0.10000000899999983,0.10322344987204239,0.0001120440274359154,0.5452867181632092,0.07620019258079422,0.09960952698105079
A4_regime_rules_tf0.60,bear,0.0,0.8125,0.0,0.0,0.0,none,0.0,0.0,0.0,0.18750000812499984,0.11703374443426094,0.00012734056349557503,0.48871945953142887,0.04432916367062732,0.1134130774628256
A5_ensemble_mean_tf0.40,bull,0.0,0.9535441402264919,0.0,0.0,0.0,none,0.0,0.0,0.0,0.04644411903473861,0.08413586376926531,9.09184059585845e-05,0.4952479404292374,0.12068228096861558,0.11278530413932933
A5_ensemble_mean_tf0.40,neutral,0.0,0.915684074451163,0.0,0.0,0.0,none,0.0,0.0,0.0,0.08431593470567762,0.10107694316962545,0.00010964145002770682,0.5489651058073173,0.1272780923998941,0.10961599945847093
A5_ensemble_mean_tf0.40,bear,0.0,0.8107311574910375,0.0,0.0,0.0,none,0.0,0.0,0.0,0.18926885061627385,0.10159526833534563,0.00011228967024200996,0.4828739372313534,-0.003023081641093332,0.15267864436768927
