label,regime,avg_action,avg_hedge_action,avg_hedge_type_action,dominant_hedge_type,avg_hedge_ratio,avg_hedge_cost,avg_hedge_benefit,avg_cash_weight,avg_turnover,avg_transaction_cost,avg_uncertainty_score,ann_return,ann_vol
full_pipeline_tf0.40,bull,1.9942004971002485,1.0985915492957747,0.5443247721623861,none,0.04536868268434135,0.00023856289298634128,3.690436783396975e-05,0.07581608169085854,0.10698790136297863,0.00011545657958003765,0.48747935885495935,0.1210042627949355,0.1349965779941957
full_pipeline_tf0.40,neutral,1.879591836734694,0.8469387755102041,0.4,none,0.033448979591836736,0.00024655128224566447,2.731460912278015e-05,0.07738776389490643,0.11411202510032213,0.00012384964125589085,0.5332522229372768,0.16448337889311296,0.1494791320880395
full_pipeline_tf0.40,bear,1.7358490566037736,0.7094339622641509,0.2528301886792453,none,0.02686792452830189,0.0004050096773044035,8.88161273771848e-05,0.07815095220370795,0.12151024754715367,0.00013741504561681,0.4496925104155168,0.07695555822689498,0.30671319451882534
full_pipeline_tf0.60,bull,2.0182291666666665,1.0729166666666667,0.5494791666666666,none,0.04380208333333333,0.0002308568768803041,3.1116582733872256e-05,0.06763021720186015,0.10784060019176701,0.00011663809560996236,0.48969902009863303,-0.010711300562298824,0.12781960977746734
full_pipeline_tf0.60,neutral,2.3333333333333335,0.9888888888888889,0.4527777777777778,none,0.0405,0.00022555998633386074,3.4712926113518314e-05,0.06155556443158607,0.11766207340500424,0.00012762307237646674,0.5318364907971397,0.09416935827011139,0.13800708854981553
full_pipeline_tf0.60,bear,1.8111111111111111,0.7277777777777777,0.2722222222222222,none,0.027944444444444442,0.0002870428357750496,2.504458608909062e-05,0.07961111990478063,0.11623906264837199,0.00012701948781788596,0.45762138554401366,0.34092195633262606,0.1783326147087178
full_no_uncertainty_tf0.40,bull,2.3869096934548466,1.1342170671085336,0.5733222866611434,none,0.04739850869925435,0.0002423732940042429,3.857479700677598e-05,0.04966032382065983,0.10558895050297923,0.00011401303976075114,0.4874226619703219,0.13175017824140084,0.13988904414751846
full_no_uncertainty_tf0.40,neutral,2.2918367346938777,0.9714285714285714,0.3673469387755102,none,0.04073469387755102,0.00027236415856163,3.342055703153037e-05,0.059755110948834754,0.11479360280269915,0.00012455995684261013,0.5332323568152676,0.18338808526821665,0.15165352050412004
full_no_uncertainty_tf0.40,bear,1.528301886792453,0.630188679245283,0.2490566037735849,none,0.02479245283018868,0.0002866486877897015,7.229676497143717e-05,0.08913208420015162,0.11823323194948128,0.00013366570165507512,0.44968720308304444,0.058214766185558875,0.2983339592743101
full_no_uncertainty_tf0.50,bull,1.6808290155440415,1.1948186528497409,0.6808290155440414,none,0.05105699481865285,0.00026935170167069114,5.0245883099279125e-05,0.0846114077087594,0.10178686584013012,0.00011012472577448904,0.4868696903270339,0.06651494623999275,0.13380517130082342
